Eerste_gwt,Gt-code,GHG,GLG
test,0,-999,-999
I   ,10,0.1,0.4
II  ,20,0.2,0.7
II* ,25,0.3,0.75
III ,30,0.2,1
III*,35,0.3,1.1
IV  ,40,0.7,1.1
V   ,50,0.2,1.3
V*  ,55,0.3,1.4
VI  ,60,0.7,1.5
VII,70,1.2,1.7
VII*,75,1.5,2.4
Dymmy,0,-999,-999
